,b,b_std
pro::ansible__ansible-e64c6c1ca50d7d26a8e7747d8eb87642e767cd74,4.7836175,1.9804223
pro::ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39,-0.7742164,0.5959
pro::ansible__ansible-ea04e0048dbb3b63f876aad7020e1de8eee9f362,-0.44177467,0.6363619
pro::ansible__ansible-ecea15c508f0e081525be036cf76bbb56dbcdd9d,4.8861394,1.8748884
pro::ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d,-1.6352321,0.6765777
pro::ansible__ansible-eea46a0d1b99a6dadedbb6a3502d599235fa7ec3,4.9303446,1.5981715
pro::ansible__ansible-f02a62db509dc7463fab642c9c3458b9bc3476cc,4.8274665,1.8001586
pro::ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629,0.6764159,0.6140769
pro::ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997,4.908303,1.7663988
pro::ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec,0.22173128,0.608132
pro::ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85,0.637782,0.58426255
pro::element-hq__element-web-1077729a19c0ce902e713cf6fab42c91fb7907f1,4.90022,1.59583
pro::element-hq__element-web-1216285ed2e82e62f8780b6702aa0f9abdda0b34,4.8681927,1.798689
pro::element-hq__element-web-18c03daa865d3c5b10e52b669cd50be34c67b2e5,-0.39034227,0.57980573
pro::element-hq__element-web-27139ca68eb075a4438c18fca184887002a4ffbc,-1.2026706,0.59108365
pro::element-hq__element-web-2760bfc8369f1bee640d6d7a7e910783143d4c5f,4.826011,1.7109053
pro::element-hq__element-web-33299af5c9b7a7ec5a9c31d578d4ec5b18088fb7,4.6623783,1.7772585
pro::element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7,-1.1228877,0.6922332
pro::element-hq__element-web-404c412bcb694f04ba0c4d5479541203d701bca0,1.5545316,0.7517613
pro::element-hq__element-web-41dfec20bfe9b62cddbbbf621bef2e9aa9685157,2.1307328,0.6903159
pro::element-hq__element-web-44b98896a79ede48f5ad7ff22619a39d5f6ff03c,4.807417,1.7073754
pro::element-hq__element-web-459df4583e01e4744a52d45446e34183385442d6,4.832305,1.8805597
pro::element-hq__element-web-494d9de6f0a94ffb491e74744d2735bce02dc0ab,0.6245122,0.56009567
pro::element-hq__element-web-4c6b0d35add7ae8d58f71ea1711587e31081444b,0.68776107,0.61672115
pro::element-hq__element-web-4fec436883b601a3cac2d4a58067e597f737b817,4.8125715,1.6239468
pro::element-hq__element-web-53a9b6447bd7e6110ee4a63e2ec0322c250f08d1,4.790411,1.6285963
pro::element-hq__element-web-53b42e321777a598aaf2bb3eab22d710569f83a8,-0.08807417,0.6020124
pro::element-hq__element-web-56c7fc1948923b4b3f3507799e725ac16bcf8018,4.880102,1.6119509
pro::element-hq__element-web-582a1b093fc0b77538052f45cbb9c7295f991b51,2.0750206,0.7677037
pro::element-hq__element-web-5dfde12c1c1c0b6e48f17e3405468593e39d9492,4.749869,1.8478527
pro::element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e,0.7157965,0.6579566
pro::element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31,-0.02555756,0.65224826
pro::element-hq__element-web-66d0b318bc6fee0d17b54c1781d6ab5d5d323135,5.0978403,1.5456513
pro::element-hq__element-web-6961c256035bed0b7640a6e5907652c806968478,-0.42584062,0.5795543
pro::element-hq__element-web-71fe08ea0f159ccb707904d87f0a4aef205a167c,2.1041737,0.79994047
pro::element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c,1.0549024,0.70826244
pro::element-hq__element-web-75c2c1a572fa45d1ea1d1a96e9e36e303332ecaa,4.891044,1.609262
pro::element-hq__element-web-772df3021201d9c73835a626df8dcb6334ad9a3e,2.0920537,0.7330584
pro::element-hq__element-web-776ffa47641c7ec6d142ab4a47691c30ebf83c2e,4.8593087,1.7804402
pro::element-hq__element-web-7c63d52500e145d6fff6de41dd717f61ab88d02f,1.0876133,0.6024657
pro::element-hq__element-web-880428ab94c6ea98d3d18dcaeb17e8767adcb461,1.4498179,0.7157403
pro::element-hq__element-web-8f3c8b35153d2227af45f32e46bd1e15bd60b71f,2.1900785,0.75772065
pro::element-hq__element-web-923ad4323b2006b2b180544429455ffe7d4a6cc3,-0.37611103,0.59447247
pro::element-hq__element-web-9a31cd0fa849da810b4fac6c6c015145e850b282,2.9524682,1.0706104
pro::element-hq__element-web-9bf77963ee5e036d54b2a3ca202fbf6378464a5e,1.0592682,0.66701514
pro::element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f,1.5195801,0.6660582
pro::element-hq__element-web-ad26925bb6628260cfe0fcf90ec0a8cba381f4a4,2.903703,1.086307
pro::element-hq__element-web-aeabf3b18896ac1eb7ae9757e66ce886120f8309,4.9390116,1.5901351
pro::element-hq__element-web-aec454dd6feeb93000380523cbb0b3681c0275fd,4.988483,1.5890313
pro::element-hq__element-web-b007ea81b2ccd001b00f332bee65070aa7fc00f9,4.8871484,1.7313029
pro::element-hq__element-web-b7fea97bb68c6628a644580076f840109132f074,1.0488275,0.6612133
pro::element-hq__element-web-ca58617cee8aa91c93553449bfdf9b3465a5119b,3.0509608,0.90797704
pro::element-hq__element-web-ca8b1b04effb4fec0e1dd3de8e3198eeb364d50e,-0.4189623,0.56114423
pro::element-hq__element-web-ce554276db97b9969073369fefa4950ca8e54f84,0.7233837,0.6749671
pro::element-hq__element-web-cf3c899dd1f221aa1a1f4c5a80dffc05b9c21c85,4.929448,1.6334428
pro::element-hq__element-web-d06cf09bf0b3d4a0fbe6bd32e4115caea2083168,1.06584,0.69088787
pro::element-hq__element-web-d405160080bbe804f7e9294067d004a7d4dad9d6,2.1120265,0.7305647
pro::element-hq__element-web-dae13ac8522fc6d41e64d1ac6e3174486fdcce0c,2.0726633,0.7959463
pro::element-hq__element-web-e15ef9f3de36df7f318c083e485f44e1de8aad17,4.859604,2.0087838
pro::element-hq__element-web-ecfd1736e5dd9808e87911fc264e6c816653e1a9,4.8926854,1.8117719
pro::element-hq__element-web-ee13e23b156fbad9369d6a656c827b6444343d4f,-0.7196195,0.56148255
pro::element-hq__element-web-f0359a5c180b8fec4329c77adcf967c8d3b7b787,0.642454,0.63281256
pro::element-hq__element-web-f14374a51c153f64f313243f2df6ea4971db4e15,1.0340518,0.59373134
pro::element-hq__element-web-f3534b42df3dcfe36dc48bddbf14034085af6d30,1.5223582,0.6320245
pro::element-hq__element-web-f63160f38459fb552d00fcc60d4064977a9095a6,3.0050404,0.86741424
pro::element-hq__element-web-fe14847bb9bb07cab1b9c6c54335ff22ca5e516a,4.9222302,1.8556947
pro::flipt-io__flipt-02e21636c58e86c51119b63e0fb5ca7b813b07b1,4.9449687,1.6250793
pro::flipt-io__flipt-05d7234fa582df632f70a7cd10194d61bd7043b9,4.8931284,1.6713734
pro::flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,-0.4037806,0.63753843
pro::flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,4.921723,1.5392603
pro::flipt-io__flipt-15b76cada1ef29cfa56b0fba36754be36243dded,-0.04954399,0.5355477
pro::flipt-io__flipt-1737085488ecdcd3299c8e61af45a8976d457b7e,4.8954463,1.6897117
pro::flipt-io__flipt-1dceb5edf3fa8f39495b939ef9cc0c3dd38fa17d,-0.41684365,0.6115176
pro::flipt-io__flipt-21a935ad7886cc50c46852be21b37f363a926af0,0.5988789,0.6627407
pro::flipt-io__flipt-292fdaca9be39e6a921aaa8874c011d0fdd3e874,4.870367,1.8115057
pro::flipt-io__flipt-29d3f9db40c83434d0e3cc082af8baec64c391a9,-0.0028035818,0.6872021
pro::flipt-io__flipt-2ca5dfb3513e4e786d2b037075617cccc286d5c3,4.8979826,1.773916
pro::flipt-io__flipt-2ce8a0331e8a8f63f2c1b555db8277ffe5aa2e63,4.9245214,1.6300775
pro::flipt-io__flipt-2eac0df47b5ecc8bb05002d80383ceb08ab3620a,-0.035458416,0.56286275
pro::flipt-io__flipt-36e62baffae2132f78f9d34dc300a9baa2d7ae0e,4.759624,1.5886704
pro::flipt-io__flipt-381b90f718435c4694380b5fcd0d5cf8e3b5a25a,4.8736844,1.6701645
pro::flipt-io__flipt-3b2c25ee8a3ac247c3fad13ad8d64ace34ec8ee7,2.143654,0.89591604
pro::flipt-io__flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8,5.022255,1.58644
pro::flipt-io__flipt-3ef34d1fff012140ba86ab3cafec8f9934b492be,1.0154927,0.7205076
pro::flipt-io__flipt-40007b9d97e3862bcef8c20ae6c87b22ea0627f0,4.8551435,1.7704296
pro::flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,4.806876,1.73254
pro::flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d,4.6526513,1.7693002
pro::flipt-io__flipt-507170da0f7f4da330f6732bffdf11c4df7fc192,1.5135525,0.76461804
pro::flipt-io__flipt-518ec324b66a07fdd95464a5e9ca5fe7681ad8f9,4.9117045,1.639145
pro::flipt-io__flipt-524f277313606f8cd29b299617d6565c01642e15,4.826883,1.7648858
pro::flipt-io__flipt-56a620b8fc9ef7a0819b47709aa541cdfdbba00b,4.8816743,1.6519551
pro::flipt-io__flipt-5aef5a14890aa145c22d864a834694bae3a6f112,0.22725095,0.6713822
pro::flipt-io__flipt-5af0757e96dec4962a076376d1bedc79de0d4249,4.8827415,1.637033
pro::flipt-io__flipt-5c7037ececb0bead0a8eb56054e224bcd7ac5922,4.938306,1.5978835
pro::flipt-io__flipt-5ffba3406a7993d97ced4cc13658bee66150fcca,-2.26767,0.78373325
pro::flipt-io__flipt-65581fef4aa807540cb933753d085feb0d7e736f,4.73597,2.0174189
pro::flipt-io__flipt-690672523398c2b6f6e4562f0bf9868664ab894f,4.8633385,1.6928664
pro::flipt-io__flipt-6fd0f9e2587f14ac1fdd1c229f0bcae0468c8daa,4.9691463,1.5907518
pro::flipt-io__flipt-6fe76d024ee0c50ddb09c86f4ae0bd4c208fd65f,-0.007521596,0.5717896
pro::flipt-io__flipt-7161f7b876773a911afdd804b281e52681cb7321,-0.053422213,0.573545
pro::flipt-io__flipt-72d06db14d58692bfb4d07b1aa745a37b35956f3,1.8840915,0.8024242
pro::flipt-io__flipt-756f00f79ba8abf9fe53f3c6c818123b42eb7355,4.625281,1.8381605
pro::flipt-io__flipt-84806a178447e766380cc66b14dee9c6eeb534f4,4.864935,1.6486102
pro::flipt-io__flipt-86906cbfc3a5d3629a583f98e6301142f5f14bdb,4.9724584,1.6983547
pro::flipt-io__flipt-8bd3604dc54b681f1f0f7dd52cbc70b3024184b6,2.9631262,0.9725443
